subsidiary_name,strategic_city_name,plan_id,region_id,region_seq,region_name,new_region_name,area_type,required_center_type
LGEAI,"Los Angeles, CA",legacy_337343cbc939_v1,los_angeles_ca_r01,1,DMS Region 1,DMS Region 1,DMS_CORE,
LGEAI,"Los Angeles, CA",legacy_337343cbc939_v1,los_angeles_ca_r02,2,Overlap Region 1,Overlap Region 1,OVERLAP,
LGEAI,"Los Angeles, CA",legacy_337343cbc939_v1,los_angeles_ca_r03,3,DMS2 Region 1,DMS2 Region 1,DMS2_EXCLUSIVE,
