service_date_key,region_seq,new_region_name,actual_service_count,actual_weighted_job_units,tv_job_count,available_current_dms_count,available_current_dms2_count,available_current_total_count,baseline_capacity_jobs,baseline_capacity_weighted_units,capacity_gap_jobs,capacity_gap_weighted_units,feasible_by_weighted_units
2026-01-29,2,Atlanta New Region 2,12,17.0,0,4,0,4,16,16,4,-1.0,False
2026-01-29,3,Atlanta New Region 3,14,18.0,0,4,0,4,16,16,2,-2.0,False
2026-01-30,1,Atlanta New Region 1,20,25.0,1,4,1,5,20,20,0,-5.0,False
2026-01-30,2,Atlanta New Region 2,21,26.0,2,5,0,5,20,20,-1,-6.0,False
2026-01-30,3,Atlanta New Region 3,18,24.0,0,2,0,2,8,8,-10,-16.0,False
2026-01-31,1,Atlanta New Region 1,1,1.0,0,1,0,1,4,4,3,3.0,True
2026-02-01,2,Atlanta New Region 2,1,1.0,0,0,0,0,0,0,-1,-1.0,False
2026-02-02,1,Atlanta New Region 1,15,16.0,4,4,1,5,20,20,5,4.0,True
2026-02-02,2,Atlanta New Region 2,12,15.0,1,3,0,3,12,12,0,-3.0,False
2026-02-02,3,Atlanta New Region 3,25,30.0,1,3,0,3,12,12,-13,-18.0,False
2026-02-03,1,Atlanta New Region 1,30,34.0,2,5,1,6,24,24,-6,-10.0,False
2026-02-03,2,Atlanta New Region 2,17,27.0,1,5,0,5,20,20,3,-7.0,False
2026-02-03,3,Atlanta New Region 3,17,20.0,1,3,0,3,12,12,-5,-8.0,False
2026-02-04,1,Atlanta New Region 1,14,14.0,1,3,1,4,16,16,2,2.0,True
2026-02-04,2,Atlanta New Region 2,18,23.0,1,4,0,4,16,16,-2,-7.0,False
2026-02-04,3,Atlanta New Region 3,17,20.0,0,4,0,4,16,16,-1,-4.0,False
2026-02-05,1,Atlanta New Region 1,19,21.0,0,5,1,6,24,24,5,3.0,True
2026-02-05,2,Atlanta New Region 2,19,21.0,0,5,0,5,20,20,1,-1.0,False
2026-02-05,3,Atlanta New Region 3,20,26.0,1,4,0,4,16,16,-4,-10.0,False
2026-02-06,1,Atlanta New Region 1,16,21.0,2,4,1,5,20,20,4,-1.0,False
2026-02-06,2,Atlanta New Region 2,19,24.0,1,5,0,5,20,20,1,-4.0,False
2026-02-06,3,Atlanta New Region 3,13,14.0,1,1,0,1,4,4,-9,-10.0,False
2026-02-07,1,Atlanta New Region 1,5,6.0,0,1,0,1,4,4,-1,-2.0,False
2026-02-07,2,Atlanta New Region 2,3,4.0,0,1,0,1,4,4,1,0.0,True
2026-02-09,1,Atlanta New Region 1,14,21.0,0,5,1,6,24,24,10,3.0,True
2026-02-09,2,Atlanta New Region 2,17,23.0,1,5,0,5,20,20,3,-3.0,False
2026-02-09,3,Atlanta New Region 3,14,20.0,1,3,0,3,12,12,-2,-8.0,False
2026-02-10,1,Atlanta New Region 1,19,23.0,1,4,1,5,20,20,1,-3.0,False
2026-02-10,2,Atlanta New Region 2,9,11.0,0,5,0,5,20,20,11,9.0,True
2026-02-10,3,Atlanta New Region 3,22,28.0,0,5,0,5,20,20,-2,-8.0,False
2026-02-11,1,Atlanta New Region 1,17,20.0,0,3,1,4,16,16,-1,-4.0,False
2026-02-11,2,Atlanta New Region 2,13,16.0,0,5,0,5,20,20,7,4.0,True
2026-02-11,3,Atlanta New Region 3,17,21.0,0,3,0,3,12,12,-5,-9.0,False
2026-02-12,1,Atlanta New Region 1,19,24.0,0,5,1,6,24,24,5,0.0,True
2026-02-12,2,Atlanta New Region 2,14,18.0,1,4,0,4,16,16,2,-2.0,False
2026-02-12,3,Atlanta New Region 3,12,17.0,0,4,0,4,16,16,4,-1.0,False
2026-02-13,1,Atlanta New Region 1,16,18.0,0,5,1,6,24,24,8,6.0,True
2026-02-13,2,Atlanta New Region 2,10,10.0,3,3,0,3,12,12,2,2.0,True
2026-02-13,3,Atlanta New Region 3,9,10.0,1,1,0,1,4,4,-5,-6.0,False
2026-02-14,1,Atlanta New Region 1,1,1.0,0,1,0,1,4,4,3,3.0,True
2026-02-14,2,Atlanta New Region 2,2,3.0,0,1,0,1,4,4,2,1.0,True
2026-02-16,1,Atlanta New Region 1,1,2.0,0,0,1,1,4,4,3,2.0,True
2026-02-16,2,Atlanta New Region 2,2,2.0,0,0,0,0,0,0,-2,-2.0,False
2026-02-16,3,Atlanta New Region 3,9,9.0,0,1,0,1,4,4,-5,-5.0,False
2026-02-17,1,Atlanta New Region 1,22,25.0,1,4,1,5,20,20,-2,-5.0,False
2026-02-17,2,Atlanta New Region 2,19,27.0,1,4,0,4,16,16,-3,-11.0,False
2026-02-17,3,Atlanta New Region 3,26,27.0,1,4,0,4,16,16,-10,-11.0,False
2026-02-18,1,Atlanta New Region 1,14,16.0,0,4,1,5,20,20,6,4.0,True
2026-02-18,2,Atlanta New Region 2,13,21.0,0,5,0,5,20,20,7,-1.0,False
2026-02-18,3,Atlanta New Region 3,16,20.0,0,4,0,4,16,16,0,-4.0,False
2026-02-19,1,Atlanta New Region 1,19,21.0,0,4,1,5,20,20,1,-1.0,False
2026-02-19,2,Atlanta New Region 2,15,19.0,0,5,0,5,20,20,5,1.0,True
2026-02-19,3,Atlanta New Region 3,22,25.0,0,4,0,4,16,16,-6,-9.0,False
2026-02-20,1,Atlanta New Region 1,19,20.0,1,5,1,6,24,24,5,4.0,True
2026-02-20,2,Atlanta New Region 2,14,18.0,0,4,0,4,16,16,2,-2.0,False
2026-02-20,3,Atlanta New Region 3,9,10.0,0,4,0,4,16,16,7,6.0,True
2026-02-21,1,Atlanta New Region 1,1,1.0,0,1,0,1,4,4,3,3.0,True
2026-02-21,3,Atlanta New Region 3,1,1.0,0,0,0,0,0,0,-1,-1.0,False
2026-02-22,2,Atlanta New Region 2,1,1.0,0,1,0,1,4,4,3,3.0,True
2026-02-23,1,Atlanta New Region 1,20,26.0,0,5,1,6,24,24,4,-2.0,False
2026-02-23,2,Atlanta New Region 2,18,23.0,0,5,0,5,20,20,2,-3.0,False
2026-02-23,3,Atlanta New Region 3,16,20.0,2,4,0,4,16,16,0,-4.0,False
