label,engineers_active,service_count,total_distance_km,total_duration_min,avg_distance_km,avg_duration_min,jobs_std,max_total_work_min,overflow_480_count
line_assign,17,60,1373.26,1545.08,80.78,90.89,1.242,489.24,1
osrm_assign,17,60,1247.11,1419.74,73.36,83.51,1.334,470.71,0
