service_date_key,region_seq,new_region_name,actual_service_count,actual_weighted_job_units,tv_job_count,current_roster_dms_present,current_roster_dms2_present,added_dms_present,added_dms2_present,supplemented_available_total,baseline_capacity_weighted_units,capacity_gap_weighted_units,feasible_by_weighted_units
2026-01-28,3,Atlanta New Region 3,15,17.0,0,6,0,1,0,7,28,11.0,True
2026-01-29,1,Atlanta New Region 1,11,12.0,0,4,0,0,0,4,16,4.0,True
2026-01-29,2,Atlanta New Region 2,12,17.0,0,3,1,0,0,4,16,-1.0,False
2026-01-29,3,Atlanta New Region 3,14,18.0,0,5,0,1,1,7,28,10.0,True
2026-01-30,1,Atlanta New Region 1,20,25.0,1,3,1,0,1,5,20,-5.0,False
2026-01-30,2,Atlanta New Region 2,21,26.0,2,4,0,0,0,4,16,-10.0,False
2026-01-30,3,Atlanta New Region 3,18,24.0,0,4,0,0,0,4,16,-8.0,False
2026-01-31,1,Atlanta New Region 1,1,1.0,0,1,0,0,0,1,4,3.0,True
2026-02-01,2,Atlanta New Region 2,1,1.0,0,0,0,0,0,0,0,-1.0,False
2026-02-02,1,Atlanta New Region 1,15,16.0,4,4,0,0,1,5,20,4.0,True
2026-02-02,2,Atlanta New Region 2,12,15.0,1,1,1,0,0,2,8,-7.0,False
2026-02-02,3,Atlanta New Region 3,25,30.0,1,5,0,0,1,6,24,-6.0,False
2026-02-03,1,Atlanta New Region 1,30,34.0,2,5,1,0,1,7,28,-6.0,False
2026-02-03,2,Atlanta New Region 2,17,27.0,1,4,0,0,0,4,16,-11.0,False
2026-02-03,3,Atlanta New Region 3,17,20.0,1,4,0,0,0,4,16,-4.0,False
2026-02-04,1,Atlanta New Region 1,14,14.0,1,3,0,0,1,4,16,2.0,True
2026-02-04,2,Atlanta New Region 2,18,23.0,1,3,0,0,0,3,12,-11.0,False
2026-02-04,3,Atlanta New Region 3,17,20.0,0,5,1,0,0,6,24,4.0,True
2026-02-05,1,Atlanta New Region 1,19,21.0,0,5,0,0,0,5,20,-1.0,False
2026-02-05,2,Atlanta New Region 2,19,21.0,0,4,1,0,0,5,20,-1.0,False
2026-02-05,3,Atlanta New Region 3,20,26.0,1,5,0,0,2,7,28,2.0,True
2026-02-06,1,Atlanta New Region 1,16,21.0,2,3,0,0,1,4,16,-5.0,False
2026-02-06,2,Atlanta New Region 2,19,24.0,1,4,1,0,0,5,20,-4.0,False
2026-02-06,3,Atlanta New Region 3,13,14.0,1,3,0,0,1,4,16,2.0,True
2026-02-07,1,Atlanta New Region 1,5,6.0,0,1,0,0,0,1,4,-2.0,False
2026-02-07,2,Atlanta New Region 2,3,4.0,0,1,0,0,0,1,4,0.0,True
2026-02-09,1,Atlanta New Region 1,14,21.0,0,5,0,0,0,5,20,-1.0,False
2026-02-09,2,Atlanta New Region 2,17,23.0,1,4,1,0,1,6,24,1.0,True
2026-02-09,3,Atlanta New Region 3,14,20.0,1,4,0,0,0,4,16,-4.0,False
2026-02-10,1,Atlanta New Region 1,19,23.0,1,4,0,0,1,5,20,-3.0,False
2026-02-10,2,Atlanta New Region 2,9,11.0,0,3,0,1,0,4,16,5.0,True
2026-02-10,3,Atlanta New Region 3,22,28.0,0,7,1,0,0,8,32,4.0,True
2026-02-11,1,Atlanta New Region 1,17,20.0,0,3,1,0,0,4,16,-4.0,False
2026-02-11,2,Atlanta New Region 2,13,16.0,0,3,0,0,0,3,12,-4.0,False
2026-02-11,3,Atlanta New Region 3,17,21.0,0,5,0,0,1,6,24,3.0,True
2026-02-12,1,Atlanta New Region 1,19,24.0,0,5,0,0,0,5,20,-4.0,False
2026-02-12,2,Atlanta New Region 2,14,18.0,1,4,1,0,1,6,24,6.0,True
2026-02-12,3,Atlanta New Region 3,12,17.0,0,4,0,0,1,5,20,3.0,True
2026-02-13,1,Atlanta New Region 1,16,18.0,0,5,0,0,0,5,20,2.0,True
2026-02-13,2,Atlanta New Region 2,10,10.0,3,2,1,0,1,4,16,6.0,True
2026-02-13,3,Atlanta New Region 3,9,10.0,1,2,0,0,0,2,8,-2.0,False
2026-02-14,1,Atlanta New Region 1,1,1.0,0,1,0,0,0,1,4,3.0,True
2026-02-14,2,Atlanta New Region 2,2,3.0,0,1,0,0,0,1,4,1.0,True
2026-02-16,1,Atlanta New Region 1,1,2.0,0,0,0,0,0,0,0,-2.0,False
2026-02-16,2,Atlanta New Region 2,2,2.0,0,0,0,0,0,0,0,-2.0,False
2026-02-16,3,Atlanta New Region 3,9,9.0,0,1,1,0,1,3,12,3.0,True
2026-02-17,1,Atlanta New Region 1,22,25.0,1,4,1,0,1,6,24,-1.0,False
2026-02-17,2,Atlanta New Region 2,19,27.0,1,4,0,0,0,4,16,-11.0,False
2026-02-17,3,Atlanta New Region 3,26,27.0,1,4,0,1,1,6,24,-3.0,False
2026-02-18,1,Atlanta New Region 1,14,16.0,0,5,1,0,0,6,24,8.0,True
2026-02-18,2,Atlanta New Region 2,13,21.0,0,3,0,0,0,3,12,-9.0,False
2026-02-18,3,Atlanta New Region 3,16,20.0,0,5,0,1,0,6,24,4.0,True
2026-02-19,1,Atlanta New Region 1,19,21.0,0,5,0,0,0,5,20,-1.0,False
2026-02-19,2,Atlanta New Region 2,15,19.0,0,3,0,0,0,3,12,-7.0,False
2026-02-19,3,Atlanta New Region 3,22,25.0,0,5,1,1,0,7,28,3.0,True
2026-02-20,1,Atlanta New Region 1,19,20.0,1,5,0,0,1,6,24,4.0,True
2026-02-20,2,Atlanta New Region 2,14,18.0,0,3,1,0,0,4,16,-2.0,False
2026-02-20,3,Atlanta New Region 3,9,10.0,0,5,0,0,0,5,20,10.0,True
2026-02-21,1,Atlanta New Region 1,1,1.0,0,1,0,0,0,1,4,3.0,True
2026-02-21,3,Atlanta New Region 3,1,1.0,0,0,0,0,1,1,4,3.0,True
2026-02-22,2,Atlanta New Region 2,1,1.0,0,1,0,0,0,1,4,3.0,True
2026-02-23,1,Atlanta New Region 1,20,26.0,0,4,0,0,0,4,16,-10.0,False
2026-02-23,2,Atlanta New Region 2,18,23.0,0,5,1,0,0,6,24,1.0,True
2026-02-23,3,Atlanta New Region 3,16,20.0,2,5,0,0,1,6,24,4.0,True
2026-02-24,1,Atlanta New Region 1,24,29.0,2,6,1,0,1,8,32,3.0,True
2026-02-24,2,Atlanta New Region 2,21,28.0,1,3,0,0,0,3,12,-16.0,False
2026-02-24,3,Atlanta New Region 3,16,21.0,0,6,0,0,0,6,24,3.0,True
2026-02-25,1,Atlanta New Region 1,17,19.0,0,3,0,0,0,3,12,-7.0,False
2026-02-25,2,Atlanta New Region 2,26,31.0,0,4,1,0,0,5,20,-11.0,False
2026-02-25,3,Atlanta New Region 3,18,21.0,2,6,0,0,1,7,28,7.0,True
2026-02-26,1,Atlanta New Region 1,15,20.0,0,5,1,0,0,6,24,4.0,True
2026-02-26,2,Atlanta New Region 2,9,15.0,1,3,0,0,0,3,12,-3.0,False
2026-02-26,3,Atlanta New Region 3,20,24.0,2,6,0,0,2,8,32,8.0,True
2026-02-27,1,Atlanta New Region 1,19,24.0,1,5,1,0,1,7,28,4.0,True
2026-02-27,2,Atlanta New Region 2,12,16.0,0,4,0,0,0,4,16,0.0,True
2026-02-27,3,Atlanta New Region 3,19,21.0,0,6,0,0,0,6,24,3.0,True
2026-02-28,2,Atlanta New Region 2,1,1.0,0,0,0,0,0,0,0,-1.0,False
2026-03-02,1,Atlanta New Region 1,9,10.0,0,4,0,0,0,4,16,6.0,True
2026-03-02,2,Atlanta New Region 2,12,15.0,0,4,0,0,0,4,16,1.0,True
2026-03-02,3,Atlanta New Region 3,20,23.0,0,6,0,0,0,6,24,1.0,True
2026-03-03,1,Atlanta New Region 1,3,6.0,0,1,0,0,0,1,4,-2.0,False
2026-03-03,2,Atlanta New Region 2,4,8.0,0,0,0,0,0,0,0,-8.0,False
2026-03-04,1,Atlanta New Region 1,4,7.0,0,2,0,0,0,2,8,1.0,True
2026-03-04,2,Atlanta New Region 2,6,7.0,0,3,0,0,0,3,12,5.0,True
2026-03-04,3,Atlanta New Region 3,4,4.0,0,3,0,0,0,3,12,8.0,True
2026-03-05,1,Atlanta New Region 1,3,3.0,0,3,0,0,0,3,12,9.0,True
2026-03-05,3,Atlanta New Region 3,6,8.0,0,5,0,0,0,5,20,12.0,True
2026-03-06,2,Atlanta New Region 2,1,1.0,0,1,0,0,0,1,4,3.0,True
2026-03-06,3,Atlanta New Region 3,3,4.0,0,2,0,0,0,2,8,4.0,True
2026-03-09,1,Atlanta New Region 1,2,2.0,0,2,0,0,0,2,8,6.0,True
2026-03-09,2,Atlanta New Region 2,1,1.0,0,0,0,0,0,0,0,-1.0,False
2026-03-09,3,Atlanta New Region 3,1,2.0,0,1,0,0,0,1,4,2.0,True
