service_date_key,line_assigned_engineer_count,line_total_distance_km,line_total_duration_min,line_avg_distance_km,line_avg_duration_min,line_jobs_std,line_max_total_work_min,line_overflow_480_count,line_service_count,line_heavy_repair_count,line_tv_job_count,line_total_service_time_min,line_weighted_jobs_std,osrm_assigned_engineer_count,osrm_total_distance_km,osrm_total_duration_min,osrm_avg_distance_km,osrm_avg_duration_min,osrm_jobs_std,osrm_max_total_work_min,osrm_overflow_480_count,osrm_service_count,osrm_heavy_repair_count,osrm_tv_job_count,osrm_total_service_time_min,osrm_weighted_jobs_std
2026-01-01,17,124.38,119.00999999999999,62.19,59.504999999999995,0.32218973970892123,124.46,0,2,0,0,90,0.0,17,125.03999999999999,114.19999999999999,62.519999999999996,57.099999999999994,0.32218973970892123,124.46,0,2,0,0,90,0.0
2026-01-02,17,482.36,478.64,43.85090909090909,43.51272727272727,0.7848037684780197,193.54,0,14,0,2,630,0.616575453011388,17,475.23,466.28,43.20272727272727,42.3890909090909,0.7848037684780197,199.98,0,14,0,2,630,0.616575453011388
2026-01-03,17,135.54,132.73000000000002,45.18,44.24333333333334,0.3812200410828153,101.96,0,3,0,0,135,0.0,17,128.79,136.98000000000002,42.93,45.660000000000004,0.3812200410828153,98.67,0,3,0,0,135,0.0
2026-01-05,17,389.53999999999996,416.11,38.95399999999999,41.611000000000004,0.7299808027053446,140.36,0,13,1,1,640,0.48989794855663565,17,374.63,394.38,41.62555555555556,43.82,0.8065476000471816,172.82,0,13,1,1,640,0.4969039949999533
2026-01-06,17,741.66,812.87,43.62705882352941,47.81588235294117,0.7487012977269327,256.24,0,29,9,2,1800,1.0588235294117647,17,609.0699999999999,703.48,38.066874999999996,43.9675,1.1764705882352942,414.76,0,29,9,2,1800,1.5360257159305635
2026-01-07,17,934.02,1003.68,54.942352941176466,59.04,1.042355596862903,330.2,0,31,7,5,1780,1.164646463130784,17,830.8299999999999,895.78,48.872352941176466,52.69294117647058,1.1496953109230625,391.38,0,31,7,5,1780,1.394502304838788
2026-01-08,17,1293.44,1367.35,76.08470588235295,80.43235294117646,1.1910856900774462,374.63,0,44,12,4,2640,1.4456712620522951,17,1072.26,1183.23,63.07411764705882,69.60176470588236,1.3310245292923246,423.52,0,44,12,4,2640,1.6720788710061054
2026-01-09,17,617.64,689.58,36.33176470588235,40.563529411764705,1.140630554686195,301.32,0,27,3,4,1380,1.307418280640757,17,550.3,620.02,34.39375,38.75125,1.1910856900774462,267.21,0,27,3,4,1380,1.2183492931011204
2026-01-10,17,160.60999999999999,153.38,53.53666666666666,51.126666666666665,0.5455069703232767,134.66,0,4,0,0,180,0.4714045207910317,17,179.17000000000002,166.12,59.723333333333336,55.373333333333335,0.5455069703232767,137.69,0,4,0,0,180,0.4714045207910317
2026-01-11,17,51.57,47.47,51.57,47.47,0.23529411764705885,92.47,0,1,0,0,45,0.0,17,51.57,47.47,51.57,47.47,0.23529411764705885,92.47,0,1,0,0,45,0.0
2026-01-12,17,1551.65,1661.25,91.27352941176471,97.72058823529412,0.9112901991076274,442.03,0,61,16,2,3625,1.143660123248446,17,1307.41,1467.66,76.9064705882353,86.3329411764706,1.0323487514578968,439.6,0,61,16,2,3625,1.193987242952026
2026-01-13,17,1418.4,1578.02,83.43529411764706,92.82470588235294,0.977249866225656,460.62,0,60,13,2,3415,1.2725475089872904,17,1112.28,1296.81,65.42823529411764,76.28294117647059,1.0356951095093536,412.3,0,60,13,2,3415,1.5248801643312613
2026-01-14,17,1252.22,1385.88,73.66,81.52235294117648,0.8065476000471817,365.19,0,55,12,3,3135,0.9982683969692435,17,1113.79,1236.23,65.51705882352941,72.71941176470588,1.5157763207911912,514.8,1,55,12,3,3135,1.8620225636875782
2026-01-15,17,1089.15,1219.85,64.06764705882354,71.75588235294117,0.7848037684780197,359.89,0,48,17,0,3095,0.8564835163859433,17,873.36,1014.87,51.374117647058824,59.698235294117644,1.2478354962115543,467.57,0,48,17,0,3095,1.947405336146688
2026-01-16,17,1381.73,1515.34,81.27823529411765,89.13764705882352,0.9411764705882353,494.93,1,55,16,0,3355,1.2478354962115545,17,1171.35,1287.86,68.90294117647058,75.75647058823529,1.2616241523251304,444.07,0,55,16,0,3355,1.5429267116004708
2026-01-17,17,68.55,72.38,68.55,72.38,0.23529411764705885,172.38,0,1,1,0,100,0.0,17,61.77,66.97,61.77,66.97,0.23529411764705885,166.97,0,1,1,0,100,0.0
2026-01-19,17,1295.97,1460.25,76.2335294117647,85.8970588235294,0.8235294117647058,350.82,0,63,9,0,3330,0.8065476000471816,17,1127.33,1312.2,66.3135294117647,77.18823529411765,1.3179621472004752,384.73,0,63,9,0,3330,1.476458870354251
2026-01-20,17,1269.76,1426.77,74.69176470588235,83.92764705882352,0.6960093862470137,340.02,0,60,8,2,3140,0.5940885257860046,17,1106.99,1283.21,65.11705882352942,75.48294117647059,0.8483650059915269,381.73,0,60,8,2,3140,0.9701425001453319
2026-01-21,17,1186.79,1362.57,69.81117647058824,80.15117647058823,0.9374927912064251,402.88,0,52,7,3,2725,1.1939872429520257,17,1101.49,1231.0,64.79352941176471,72.41176470588235,1.3920187724940272,379.07,0,52,7,3,2725,1.5762071772910897
2026-01-22,17,1342.93,1452.16,78.99588235294118,85.42117647058824,0.9112901991076274,412.72,0,58,7,5,2995,0.7848037684780197,17,1122.06,1291.41,66.0035294117647,75.96529411764706,1.1910856900774462,408.78,0,58,7,5,2995,1.2478354962115545
2026-01-23,17,1289.94,1349.7,75.87882352941176,79.39411764705882,0.7487012977269327,393.69,0,46,7,2,2455,1.0782531046954917,17,1054.09,1149.32,62.005294117647054,67.60705882352941,1.2254509797646858,403.37,0,46,7,2,2455,1.5674014817028505
2026-01-24,17,82.19,82.74,41.095,41.37,0.32218973970892123,106.18,0,2,0,0,90,0.0,17,82.19,82.74,41.095,41.37,0.32218973970892123,106.18,0,2,0,0,90,0.0
2026-01-26,17,678.1800000000001,678.68,45.212,45.24533333333333,0.7299808027053445,254.23,0,21,5,1,1220,0.8537498983243798,17,750.15,738.21,50.01,49.214000000000006,0.7299808027053445,203.89,0,21,5,1,1220,0.771722460186015
2026-01-27,17,1324.76,1500.8,77.9270588235294,88.28235294117647,0.9557692240748189,411.27,0,56,12,2,3180,0.9074852129730301,17,1282.42,1438.54,75.4364705882353,84.62,1.125360380571117,417.74,0,56,12,2,3180,1.6449566416599486
2026-01-28,17,1107.76,1229.71,65.16235294117647,72.33588235294118,0.823529411764706,324.52,0,46,6,0,2400,0.8724939396583133,17,1127.67,1196.32,66.33352941176472,70.37176470588236,1.176470588235294,366.26,0,46,6,0,2400,1.3490994048446723
2026-01-29,17,964.92,1057.81,56.76,62.22411764705882,0.6169463812765598,298.3,0,37,10,0,2215,0.8065476000471816,17,817.84,918.06,48.10823529411765,54.0035294117647,0.9843059135695007,345.16,0,37,10,0,2215,1.0588235294117647
