STRATEGIC_CITY_NAME,candidate_region_count,POSTAL_CODE,region_id,region_seq,AREA_NAME,new_region_name,area_type,service_count,relevant_calls,dms_calls,dms2_calls,asc_calls,dms_share_zip,dms_fit_score,density_raw,dms_avg_distance_km,distance_to_density_center_km,nearest_dms_home_distance_km,nearest_dms_home_code,is_dms_home_anchor,density_center_latitude,density_center_longitude,density_center_postal_code,latitude,longitude
"San Diego, CA",3,92084,san_diego_ca_r01,1,DMS Region 1,DMS Region 1,DMS_CORE,9,9,8,1,0,0.8888888888888888,0.7922733448697278,4.1908960343665,43.46401135330863,52.6855596887469,10.820012828153232,AI100698,False,32.75558323227425,-117.065463157355,92115,33.21120252683678,-117.22048267959455
"San Diego, CA",3,92101,san_diego_ca_r01,1,DMS Region 1,DMS Region 1,DMS_CORE,6,6,6,0,0,1.0,0.9102216645556346,7.888928689416529,27.320978390225292,10.27645807944124,6.186940602000524,AI102913,False,32.75558323227425,-117.065463157355,92115,32.7148817203845,-117.1641022161935
"San Diego, CA",3,92102,san_diego_ca_r01,1,DMS Region 1,DMS Region 1,DMS_CORE,4,4,3,1,0,0.75,0.6717413229944961,3.1706960480747806,26.266901507714167,7.3211367342412945,3.2745564272210594,AI102913,False,32.75558323227425,-117.065463157355,92115,32.715489213179254,-117.1275487449365
"San Diego, CA",3,92103,san_diego_ca_r01,1,DMS Region 1,DMS Region 1,DMS_CORE,9,9,7,2,0,0.7777777777777778,0.7673860645649682,8.270073792683114,26.553824201661374,9.865192825369814,8.636827063067775,AI102913,False,32.75558323227425,-117.065463157355,92115,32.747443008863556,-117.17050817946789
"San Diego, CA",3,92104,san_diego_ca_r01,1,DMS Region 1,DMS Region 1,DMS_CORE,11,11,10,1,0,0.9090909090909091,0.8810847224773616,9.593724259095183,25.5672153974979,5.848810813376589,5.773830630033573,AI102913,True,32.75558323227425,-117.065463157355,92115,32.74297717602937,-117.12618115888573
"San Diego, CA",3,92105,san_diego_ca_r01,1,DMS Region 1,DMS Region 1,DMS_CORE,8,8,6,2,0,0.75,0.7536192350746997,8.927292195452312,25.308013705826337,3.102494120929551,4.554408226493226,AI102913,False,32.75558323227425,-117.065463157355,92115,32.73370634065687,-117.08605224010824
"San Diego, CA",3,92107,san_diego_ca_r01,1,DMS Region 1,DMS Region 1,DMS_CORE,2,2,2,0,0,1.0,0.8543220342873443,4.243485064239211,29.244275383027052,16.45440360743661,7.259523943444707,AI102943,False,32.75558323227425,-117.065463157355,92115,32.7452508169155,-117.2409809895115
"San Diego, CA",3,92108,san_diego_ca_r01,1,DMS Region 1,DMS Region 1,DMS_CORE,5,5,5,0,0,1.0,0.8558315722946633,3.6848785404723183,25.585653955558573,8.28022590529147,9.827334962774433,AI102913,False,32.75558323227425,-117.065463157355,92115,32.773182762566805,-117.1515088599544
"San Diego, CA",3,92109,san_diego_ca_r01,1,DMS Region 1,DMS Region 1,DMS_CORE,10,10,10,0,0,1.0,0.9635495016001907,11.35501060128743,27.856141014857457,17.583076060803776,1.378329217132368,AI102943,True,32.75558323227425,-117.065463157355,92115,32.8055257236248,-117.2439159503062
"San Diego, CA",3,92111,san_diego_ca_r01,1,DMS Region 1,DMS Region 1,DMS_CORE,11,11,11,0,0,1.0,0.9140775859858908,7.119774369322028,25.836498737401705,10.758459626119015,8.28451058447506,AI102943,False,32.75558323227425,-117.065463157355,92115,32.79329606274309,-117.17143316604182
"San Diego, CA",3,92115,san_diego_ca_r01,1,DMS Region 1,DMS Region 1,DMS_CORE,8,8,7,1,0,0.875,0.8083135303266644,6.27048294030059,24.881287224385733,0.0,7.091852147617807,AI105036,False,32.75558323227425,-117.065463157355,92115,32.75558323227425,-117.065463157355
"San Diego, CA",3,92117,san_diego_ca_r01,1,DMS Region 1,DMS Region 1,DMS_CORE,13,13,13,0,0,1.0,0.9378982097572091,8.626908576901785,26.44287916548433,14.975816596717117,6.107985856332479,AI102943,False,32.75558323227425,-117.065463157355,92115,32.83097224672308,-117.19822495883894
"San Diego, CA",3,92119,san_diego_ca_r01,1,DMS Region 1,DMS Region 1,DMS_CORE,6,6,5,1,0,0.8333333333333334,0.7439501666354423,3.8474259434621314,24.590715725704555,6.587474319197776,1.966987453442167,AI105036,False,32.75558323227425,-117.065463157355,92115,32.8074926209435,-117.03150530228932
"San Diego, CA",3,92120,san_diego_ca_r01,1,DMS Region 1,DMS Region 1,DMS_CORE,7,7,6,1,0,0.8571428571428571,0.7687301473784477,4.289162204454112,24.47170036735205,4.282542688771639,4.825437199060547,AI105036,False,32.75558323227425,-117.065463157355,92115,32.794041121032286,-117.06299634367114
"San Diego, CA",3,92122,san_diego_ca_r01,1,DMS Region 1,DMS Region 1,DMS_CORE,6,6,6,0,0,1.0,0.8647809577690373,4.209362050786856,26.773276399388,16.852101281173002,7.155803858275605,AI102943,False,32.75558323227425,-117.065463157355,92115,32.853610612972666,-117.20297602528366
"San Diego, CA",3,92124,san_diego_ca_r01,1,DMS Region 1,DMS Region 1,DMS_CORE,4,4,3,1,0,0.75,0.6801062857295037,3.8293124412578554,24.753089082727925,8.507639263353934,8.28575415639996,AI105036,False,32.75558323227425,-117.065463157355,92115,32.828088083137246,-117.09452773959374
"San Diego, CA",3,92127,san_diego_ca_r01,1,DMS Region 1,DMS Region 1,DMS_CORE,20,20,17,3,0,0.85,0.8941517278993644,12.134976678727456,30.380509214441872,29.309548617576542,12.969754674212597,AI101066,True,32.75558323227425,-117.065463157355,92115,33.01592786287935,-117.11454256275957
"San Diego, CA",3,92128,san_diego_ca_r01,1,DMS Region 1,DMS Region 1,DMS_CORE,15,15,11,4,0,0.7333333333333333,0.6981000262512294,3.951074841547093,30.2787319947814,27.5324143691643,16.50335141711423,AI103462,False,32.75558323227425,-117.065463157355,92115,33.0031745064218,-117.06852300893928
"San Diego, CA",3,92129,san_diego_ca_r01,1,DMS Region 1,DMS Region 1,DMS_CORE,16,16,13,3,0,0.8125,0.803443360765395,7.75150756349631,28.324584679695747,23.95608449254466,14.961173944704482,AI101066,False,32.75558323227425,-117.065463157355,92115,32.96307795787581,-117.13448139569181
"San Diego, CA",3,92130,san_diego_ca_r01,1,DMS Region 1,DMS Region 1,DMS_CORE,18,18,16,2,0,0.8888888888888888,0.8538323271142748,7.084622695462582,28.99668312610266,25.61950581801732,12.653762366165894,AI101066,False,32.75558323227425,-117.065463157355,92115,32.95326003371401,-117.20635747001678
"San Diego, CA",3,92131,san_diego_ca_r01,1,DMS Region 1,DMS Region 1,DMS_CORE,15,15,12,3,0,0.8,0.8167517034395115,9.731267036097892,26.940979159773743,18.59589582438875,15.298138293479136,AI105036,True,32.75558323227425,-117.065463157355,92115,32.92146292696807,-117.09076789084092
"San Diego, CA",3,92154,san_diego_ca_r01,1,DMS Region 1,DMS Region 1,DMS_CORE,14,14,9,5,0,0.6428571428571429,0.6417594237994088,4.7682797556174625,33.658507204899166,20.009427815025695,2.3033565224120682,AI103904,False,32.75558323227425,-117.065463157355,92115,32.57627725831293,-117.0474104226115
"San Diego, CA",3,92173,san_diego_ca_r01,1,DMS Region 1,DMS Region 1,DMS_CORE,1,1,1,0,0,1.0,0.8478200435203461,4.0,35.222912672058705,21.73909710918367,3.520025524693679,AI103904,False,32.75558323227425,-117.065463157355,92115,32.560953179606,-117.043529093592
"San Diego, CA",3,91910,san_diego_ca_r02,2,Overlap Region 1,Overlap Region 1,OVERLAP,7,7,6,1,0,0.8571428571428571,0.7528916477162328,3.0700584574150267,29.745853777948113,13.538213482947851,5.24441046400646,AI103904,False,32.75558323227425,-117.065463157355,92115,32.63737552416558,-117.03080928974815
"San Diego, CA",3,91914,san_diego_ca_r02,2,Overlap Region 1,Overlap Region 1,OVERLAP,4,4,3,1,0,0.75,0.6987775057971185,5.414301506906302,31.275967150625053,14.746425458459964,10.475160490184741,AI103904,False,32.75558323227425,-117.065463157355,92115,32.66083354571175,-116.955187382019
"San Diego, CA",3,91915,san_diego_ca_r02,2,Overlap Region 1,Overlap Region 1,OVERLAP,6,6,4,2,0,0.6666666666666666,0.6985104160848217,9.698326266948596,32.62665131706194,16.8263069575524,9.171425728656269,AI103904,False,32.75558323227425,-117.065463157355,92115,32.6392404993185,-116.95048067486233
"San Diego, CA",3,91941,san_diego_ca_r02,2,Overlap Region 1,Overlap Region 1,OVERLAP,7,7,6,1,0,0.8571428571428571,0.7777538133286314,5.036163586069183,25.985832088602464,7.051030390839335,4.58279204699559,AI105036,False,32.75558323227425,-117.065463157355,92115,32.76372447786871,-116.99068258267457
"San Diego, CA",3,91945,san_diego_ca_r02,2,Overlap Region 1,Overlap Region 1,OVERLAP,9,9,8,1,0,0.8888888888888888,0.8374728613731817,7.638446955945779,25.698614338834943,3.8298513070245552,7.567592104852427,AI105036,False,32.75558323227425,-117.065463157355,92115,32.73502016766433,-117.03261184119621
"San Diego, CA",3,91950,san_diego_ca_r02,2,Overlap Region 1,Overlap Region 1,OVERLAP,7,7,7,0,0,1.0,0.8803921633189695,5.265999236957724,27.413176353410297,9.340976403414754,2.5178944762337547,AI102913,False,32.75558323227425,-117.065463157355,92115,32.674436534401,-117.09128768941657
"San Diego, CA",3,91977,san_diego_ca_r02,2,Overlap Region 1,Overlap Region 1,OVERLAP,6,6,4,2,0,0.6666666666666666,0.6091819978343839,2.4110814895311505,26.908292791564296,7.3465818608697715,8.187111241535442,AI105036,False,32.75558323227425,-117.065463157355,92115,32.728845801944836,-116.99363280325998
"San Diego, CA",3,92003,san_diego_ca_r02,2,Overlap Region 1,Overlap Region 1,OVERLAP,2,2,2,0,0,1.0,0.8033477574001922,0.2646210045187291,41.45083377453599,50.00990957416179,12.37834599659159,AI100698,False,32.75558323227425,-117.065463157355,92115,33.1871228,-117.21646455
"San Diego, CA",3,92007,san_diego_ca_r02,2,Overlap Region 1,Overlap Region 1,OVERLAP,4,4,3,1,0,0.75,0.7040071904744715,5.861964781545585,33.42339964536486,35.98521942927349,5.234642546309468,AI101066,False,32.75558323227425,-117.065463157355,92115,33.02625162618775,-117.27672579027424
"San Diego, CA",3,92008,san_diego_ca_r02,2,Overlap Region 1,Overlap Region 1,OVERLAP,5,5,4,1,0,0.8,0.7100800421852103,3.4105591940640605,42.010558199496685,50.232583579010225,10.537637059701463,AI100698,False,32.75558323227425,-117.065463157355,92115,33.1523093414516,-117.32296919518141
"San Diego, CA",3,92010,san_diego_ca_r02,2,Overlap Region 1,Overlap Region 1,OVERLAP,5,5,2,3,0,0.4,0.4540107669564507,5.345559295909062,42.05830490990825,50.59813261387764,9.563795353193289,AI100698,False,32.75558323227425,-117.065463157355,92115,33.162791367113,-117.30750001406682
"San Diego, CA",3,92014,san_diego_ca_r02,2,Overlap Region 1,Overlap Region 1,OVERLAP,5,5,4,1,0,0.8,0.694629601179144,2.021699031723325,29.95343501118808,27.44893120756816,12.052066623507326,AI101066,False,32.75558323227425,-117.065463157355,92115,32.9547474485836,-117.2390777714536
"San Diego, CA",3,92024,san_diego_ca_r02,2,Overlap Region 1,Overlap Region 1,OVERLAP,16,16,15,1,0,0.9375,0.8650299649515449,5.7281724267351,34.475560897364815,38.799602576928336,2.9801283507554928,AI101066,False,32.75558323227425,-117.065463157355,92115,33.057830838295445,-117.2731415321538
"San Diego, CA",3,92026,san_diego_ca_r02,2,Overlap Region 1,Overlap Region 1,OVERLAP,13,13,13,0,0,1.0,0.8729520714407113,3.528765989673704,39.52324498954736,46.33540035495792,5.034702240193824,AI103462,False,32.75558323227425,-117.065463157355,92115,33.17090007266793,-117.10594980336485
"San Diego, CA",3,92058,san_diego_ca_r02,2,Overlap Region 1,Overlap Region 1,OVERLAP,2,2,2,0,0,1.0,0.8071205561486545,0.6467132234229832,48.09613568639921,58.5194781108433,3.776241608368084,AI100698,False,32.75558323227425,-117.065463157355,92115,33.2219663625505,-117.3561664334815
"San Diego, CA",3,92067,san_diego_ca_r02,2,Overlap Region 1,Overlap Region 1,OVERLAP,2,2,2,0,0,1.0,0.8210512845268877,1.5739952033964206,30.964205201615,31.897065804193932,6.645129131222888,AI101066,False,32.75558323227425,-117.065463157355,92115,33.023069334861,-117.1888667629725
"San Diego, CA",3,92069,san_diego_ca_r02,2,Overlap Region 1,Overlap Region 1,OVERLAP,12,12,11,1,0,0.9166666666666666,0.8346453123939774,5.349879882280749,38.6215898537244,45.69270911184564,9.921689401876277,AI103462,False,32.75558323227425,-117.065463157355,92115,33.1581963263555,-117.16345889418348
"San Diego, CA",3,92078,san_diego_ca_r02,2,Overlap Region 1,Overlap Region 1,OVERLAP,13,13,10,3,0,0.7692307692307693,0.7490188709389787,6.529078853823153,36.1179475150054,42.18998344302855,7.275617080909288,AI101066,False,32.75558323227425,-117.065463157355,92115,33.11800242490207,-117.19928587009879
