subsidiary_name,strategic_city_name,plan_id,region_id,region_seq,region_name,new_region_name,area_type,required_center_type
LGEAI,"North Jersey, NJ",legacy_f46f9eb705a6_v1,north_jersey_nj_r01,1,DMS Region 1,DMS Region 1,DMS_CORE,
LGEAI,"North Jersey, NJ",legacy_f46f9eb705a6_v1,north_jersey_nj_r02,2,Overlap Region 1,Overlap Region 1,OVERLAP,
LGEAI,"North Jersey, NJ",legacy_f46f9eb705a6_v1,north_jersey_nj_r03,3,DMS2 Region 1,DMS2 Region 1,DMS2_EXCLUSIVE,
