technician_id,region_code,active,policy_mode,effective_from,effective_to
AI102448,Zone 1,true,,,
AI102087,Zone 1,true,,,
AI105116,Zone 1,true,,,
AI103146,Zone 2,true,,,
AI102608,Zone 2,true,,,
AI102977,Zone 2,true,,,
AI103128,Zone 3,true,,,
AI103261,Zone 4,true,,,
AI103317,Zone 4,true,,,
AI005576,Zone 4,true,,,
AI103264,Zone 5,true,,,
AI102961,Zone 5,true,,,
AI102315,Zone 5,true,,,
AI105115,Zone 4,true,,,
