ZIP,GENERAL_MARKET,CITY_STATE,STATE,RSM,ASM,Grouping,Grouping Phase,2024 Avg Demand,Flag
28053,"Charlotte, NC",Gastonia_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0,
28054,"Charlotte, NC",Gastonia_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,4.08,
28055,"Charlotte, NC",Gastonia_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0,
28056,"Charlotte, NC",Gastonia_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,7.08,
28070,"Charlotte, NC",Huntersville_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0,
28071,"Charlotte, NC",Gold Hill_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0.17,
28072,"Charlotte, NC",Granite Quarry_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0,
71960,"Rural Area, AR",Norman_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
71961,"Rural Area, AR",Oden_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
28075,"Charlotte, NC",Harrisburg_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,7.92,
71962,"Rural Area, AR",Okolona_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0.08,
28077,"Charlotte, NC",High Shoals_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0,
28078,"Charlotte, NC",Huntersville_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,24,
28079,"Charlotte, NC",Indian Trail_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,11.33,
28080,"Charlotte, NC",Iron Station_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,2.08,
28081,"Charlotte, NC",Kannapolis_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,4.92,
71964,"Rural Area, AR",Pearcy_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
28083,"Charlotte, NC",Kannapolis_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,3.75,
28086,"Charlotte, NC",Kings Mountain_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,3.25,
28088,"Charlotte, NC",Landis_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0.33,
71965,"Rural Area, AR",Pencil Bluff_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
71966,"Rural Area, AR",Oden_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
71968,"Rural Area, AR",Royal_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0.25,
28092,"Charlotte, NC",Lincolnton_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,5.17,
28093,"Charlotte, NC",Lincolnton_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0,
28097,"Charlotte, NC",Locust_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,1.75,
28098,"Charlotte, NC",Lowell_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0.42,
28101,"Charlotte, NC",Mc Adenville_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0,
71969,"Rural Area, AR",Sims_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
28103,"Charlotte, NC",Marshville_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0.75,
28104,"Charlotte, NC",Matthews_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,12.83,
28105,"Charlotte, NC",Matthews_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,9.92,
28106,"Charlotte, NC",Matthews_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0,
28107,"Charlotte, NC",Midland_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,2.92,
28108,"Charlotte, NC",Mineral Springs_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0,
71970,"Rural Area, AR",Story_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0.08,
28110,"Charlotte, NC",Monroe_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,10.75,
28111,"Charlotte, NC",Monroe_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0.08,
28112,"Charlotte, NC",Monroe_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,4.25,
71971,"Rural Area, AR",Umpire_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
28115,"Charlotte, NC",Mooresville_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,14.25,
28117,"Charlotte, NC",Mooresville_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,14.75,
71972,"Rural Area, AR",Vandervoort_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
28120,"Charlotte, NC",Mount Holly_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,5.08,
71973,"Rural Area, AR",Wickes_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0.08,
28124,"Charlotte, NC",Mount Pleasant_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0.75,
28125,"Charlotte, NC",Mount Ulla_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0.75,
28126,"Charlotte, NC",Newell_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0,
28127,"Charlotte, NC",New London_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0.08,
71998,"Rural Area, AR",Arkadelphia_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
71999,"Rural Area, AR",Arkadelphia_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
28130,"Charlotte, NC",Paw Creek_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0,
72001,"Rural Area, AR",Adona_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
28134,"Charlotte, NC",Pineville_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,3,
72003,"Rural Area, AR",Almyra_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72004,"Rural Area, AR",Altheimer_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
28137,"Charlotte, NC",Richfield_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0.25,
28138,"Charlotte, NC",Rockwell_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0.5,
72005,"Rural Area, AR",Amagon_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
28144,"Charlotte, NC",Salisbury_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,3.83,
72006,"Rural Area, AR",Augusta_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0.17,
28146,"Charlotte, NC",Salisbury_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,5.67,
28147,"Charlotte, NC",Salisbury_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,3.67,
72010,"Rural Area, AR",Bald Knob_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0.42,
72013,"Rural Area, AR",Bee Branch_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0.08,
72014,"Rural Area, AR",Beedeville_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
28159,"Charlotte, NC",Spencer_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0,
72017,"Rural Area, AR",Biscoe_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
28163,"Charlotte, NC",Stanfield_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0.5,
28164,"Charlotte, NC",Stanley_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,2.75,
28166,"Charlotte, NC",Troutman_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,6.25,
72020,"Rural Area, AR",Bradford_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0.33,
72021,"Rural Area, AR",Brinkley_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0.08,
72024,"Rural Area, AR",Carlisle_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0.17,
72025,"Rural Area, AR",Casa_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
28173,"Charlotte, NC",Waxhaw_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,28.42,
28174,"Charlotte, NC",Wingate_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,2,
28201,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0.08,
28202,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,1.25,
28203,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,4,
28204,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,1.42,
28205,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,8.92,
28206,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0.83,
28207,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,1.67,
28208,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,4,
28209,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,4.25,
28210,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,6.92,
28211,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,5.5,
28212,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,4.08,
28213,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,5.83,
28214,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,8.83,
28215,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,10.75,
28216,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,10.5,
28217,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,3.33,
28218,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0,
28219,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0,
28220,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0,
28221,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0,
72026,"Rural Area, AR",Casscoe_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
28223,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0,
28224,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0,
28226,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,8.58,
28227,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,10.92,
28228,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0,
28229,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0,
28230,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0,
28231,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0,
28232,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0,
28233,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0,
28234,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0,
28235,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0,
28236,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0,
28237,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0,
28241,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0,
28242,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0,
28243,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0,
28244,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0,
28246,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0,
28247,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0,
28250,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0,
28253,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0,
28254,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0,
28255,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0,
28256,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0,
28258,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0,
28260,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0,
28262,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,8.33,
28263,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0,
28265,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0,
28266,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0,
28269,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,15.67,
28270,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,9.08,
28271,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0,
28272,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0,
28273,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,7.75,
28274,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0,
28275,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0,
28277,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,22.58,
28278,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,10.75,
28280,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0,
28281,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0,
28282,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0,
28284,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0,
28285,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0,
72027,"Rural Area, AR",Center Ridge_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
28288,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0,
28289,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0,
28290,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0,
28296,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0,
28297,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0,
28299,"Charlotte, NC",Charlotte_NC,NC,Kevin Reed,Joel Moore,A,Phase 3,0,
72028,"Rural Area, AR",Choctaw_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72029,"Rural Area, AR",Clarendon_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0.08,
72030,"Rural Area, AR",Cleveland_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0.17,
72031,"Rural Area, AR",Clinton_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0.42,
72036,"Rural Area, AR",Cotton Plant_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72038,"Rural Area, AR",Crocketts Bluff_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72039,"Rural Area, AR",Damascus_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0.08,
72040,"Rural Area, AR",Des Arc_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72041,"Rural Area, AR",De Valls Bluff_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0.08,
72042,"Rural Area, AR",De Witt_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72043,"Rural Area, AR",Diaz_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72044,"Rural Area, AR",Edgemont_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0.08,
72048,"Rural Area, AR",Ethel_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72051,"Rural Area, AR",Fox_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72052,"Rural Area, AR",Garner_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72055,"Rural Area, AR",Gillett_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0.08,
72057,"Rural Area, AR",Grapevine_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72059,"Rural Area, AR",Gregory_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72060,"Rural Area, AR",Griffithville_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72061,"Rural Area, AR",Guy_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72063,"Rural Area, AR",Hattieville_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0.08,
72064,"Rural Area, AR",Hazen_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0.33,
72066,"Rural Area, AR",Hickory Plains_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72067,"Rural Area, AR",Higden_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0.17,
72068,"Rural Area, AR",Higginson_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72069,"Rural Area, AR",Holly Grove_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72072,"Rural Area, AR",Humnoke_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72073,"Rural Area, AR",Humphrey_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72074,"Rural Area, AR",Hunter_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72075,"Rural Area, AR",Jacksonport_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72079,"Rural Area, AR",Jefferson_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0.17,
72080,"Rural Area, AR",Jerusalem_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0.5,
72081,"Rural Area, AR",Judsonia_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0.17,
72082,"Rural Area, AR",Kensett_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0.17,
72084,"Rural Area, AR",Leola_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72085,"Rural Area, AR",Letona_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72088,"Rural Area, AR",Fairfield Bay_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0.17,
72101,"Rural Area, AR",Mc Crory_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0.08,
72104,"Rural Area, AR",Malvern_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0.92,
72108,"Rural Area, AR",Monroe_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72112,"Rural Area, AR",Newport_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0.33,
72121,"Rural Area, AR",Pangburn_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72122,"Rural Area, AR",Paron_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0.08,
72123,"Rural Area, AR",Patterson_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72126,"Rural Area, AR",Perryville_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0.33,
72128,"Rural Area, AR",Poyen_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72129,"Rural Area, AR",Prattsville_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72130,"Rural Area, AR",Prim_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72131,"Rural Area, AR",Quitman_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0.25,
72133,"Rural Area, AR",Reydell_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72134,"Rural Area, AR",Roe_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72137,"Rural Area, AR",Rose Bud_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0.08,
72139,"Rural Area, AR",Russell_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72140,"Rural Area, AR",Saint Charles_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72141,"Rural Area, AR",Scotland_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72143,"Rural Area, AR",Searcy_AR,AR,James Sapp,Joshua Longino,C,Phase 3,2.58,
72145,"Rural Area, AR",Searcy_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72149,"Rural Area, AR",Searcy_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72150,"Rural Area, AR",Sheridan_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0.17,
72152,"Rural Area, AR",Sherrill_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72153,"Rural Area, AR",Shirley_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72156,"Rural Area, AR",Solgohachia_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72157,"Rural Area, AR",Springfield_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0.17,
72160,"Rural Area, AR",Stuttgart_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0.33,
72165,"Rural Area, AR",Thida_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72166,"Rural Area, AR",Tichnor_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72169,"Rural Area, AR",Tupelo_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72170,"Rural Area, AR",Ulm_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72175,"Rural Area, AR",Wabbaseka_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72178,"Rural Area, AR",West Point_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72179,"Rural Area, AR",Wilburn_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0.08,
72189,"Rural Area, AR",Mc Crory_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72198,"Rural Area, AR",North Little Rock_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72303,"Rural Area, AR",West Memphis_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72310,"Rural Area, AR",Armorel_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72311,"Rural Area, AR",Aubrey_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72312,"Rural Area, AR",Barton_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72313,"Rural Area, AR",Bassett_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72315,"Rural Area, AR",Blytheville_AR,AR,James Sapp,Joshua Longino,C,Phase 3,1,
72316,"Rural Area, AR",Blytheville_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72319,"Rural Area, AR",Gosnell_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72320,"Rural Area, AR",Brickeys_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72321,"Rural Area, AR",Burdette_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72322,"Rural Area, AR",Caldwell_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72324,"Rural Area, AR",Cherry Valley_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72325,"Rural Area, AR",Clarkedale_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72326,"Rural Area, AR",Colt_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0.08,
72327,"Rural Area, AR",Crawfordsville_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72328,"Rural Area, AR",Crumrod_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72329,"Rural Area, AR",Driver_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72330,"Rural Area, AR",Dyess_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72331,"Rural Area, AR",Earle_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0.17,
72332,"Rural Area, AR",Edmondson_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72333,"Rural Area, AR",Elaine_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72335,"Rural Area, AR",Forrest City_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72336,"Rural Area, AR",Forrest City_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72338,"Rural Area, AR",Frenchmans Bayou_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72339,"Rural Area, AR",Gilmore_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72340,"Rural Area, AR",Goodwin_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72341,"Rural Area, AR",Haynes_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72342,"Rural Area, AR",Helena_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72346,"Rural Area, AR",Heth_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72347,"Rural Area, AR",Hickory Ridge_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72348,"Rural Area, AR",Hughes_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72350,"Rural Area, AR",Joiner_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72351,"Rural Area, AR",Keiser_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72352,"Rural Area, AR",La Grange_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72353,"Rural Area, AR",Lambrook_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72354,"Rural Area, AR",Lepanto_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72355,"Rural Area, AR",Lexa_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72358,"Rural Area, AR",Luxora_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72359,"Rural Area, AR",Madison_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72360,"Rural Area, AR",Marianna_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0.08,
72365,"Rural Area, AR",Marked Tree_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72366,"Rural Area, AR",Marvell_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72367,"Rural Area, AR",Mellwood_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72368,"Rural Area, AR",Moro_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72369,"Rural Area, AR",Oneida_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72370,"Rural Area, AR",Osceola_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0.17,
72372,"Rural Area, AR",Palestine_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72373,"Rural Area, AR",Parkin_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
72374,"Rural Area, AR",Poplar Grove_AR,AR,James Sapp,Joshua Longino,C,Phase 3,0,
