STRATEGIC_CITY_NAME,candidate_region_count,POSTAL_CODE,region_id,region_seq,AREA_NAME,new_region_name,area_type,service_count,relevant_calls,dms_calls,dms2_calls,asc_calls,dms_share_zip,dms_fit_score,density_raw,dms_avg_distance_km,distance_to_density_center_km,nearest_dms_home_distance_km,nearest_dms_home_code,is_dms_home_anchor,density_center_latitude,density_center_longitude,density_center_postal_code,latitude,longitude
"Washington, DC",3,20121,washington_dc_r01,1,DMS Region 1,DMS Region 1,DMS_CORE,6,6,1,5,0,0.16666666666666666,0.264786698552334,5.4659708829105025,100.11044070178524,32.26127035628273,1.8085006027105595,AI102540,False,38.899131494368,-77.0765703829795,22209,38.82900433624834,-77.438137846262
"Washington, DC",3,20151,washington_dc_r01,1,DMS Region 1,DMS Region 1,DMS_CORE,7,7,3,4,0,0.42857142857142855,0.43558518460444223,4.7696847036702135,102.24297461027814,31.258783738151948,7.173959618297812,AI102540,False,38.899131494368,-77.0765703829795,22209,38.88800008925314,-77.4374741333083
"Washington, DC",3,20152,washington_dc_r01,1,DMS Region 1,DMS Region 1,DMS_CORE,13,13,3,10,0,0.23076923076923078,0.36614020288451926,12.167112046866267,105.57531297397195,37.655842765117676,12.4807099496725,AI102540,False,38.899131494368,-77.0765703829795,22209,38.91063285739092,-77.51149215919862
"Washington, DC",3,20171,washington_dc_r01,1,DMS Region 1,DMS Region 1,DMS_CORE,21,21,10,11,0,0.47619047619047616,0.5459338126300789,10.208024115784475,103.0355546470864,27.966775076682442,10.809298655138374,AI102540,True,38.899131494368,-77.0765703829795,22209,38.921373847264235,-77.3985286163265
"Washington, DC",3,20190,washington_dc_r01,1,DMS Region 1,DMS Region 1,DMS_CORE,4,4,0,4,0,0.0,0.14134376923401373,7.119014287191337,104.86403074002234,23.890835238172084,17.034377272315115,AI102540,False,38.899131494368,-77.0765703829795,22209,38.96576288885625,-77.339156162282
"Washington, DC",3,20191,washington_dc_r01,1,DMS Region 1,DMS Region 1,DMS_CORE,9,9,3,6,0,0.3333333333333333,0.3893722126893581,6.808898663489255,102.9754934795155,22.922145058824032,13.676754480672159,AI102540,False,38.899131494368,-77.0765703829795,22209,38.931579572904894,-77.33820823999868
"Washington, DC",3,20744,washington_dc_r01,1,DMS Region 1,DMS Region 1,DMS_CORE,17,17,9,8,0,0.5294117647058824,0.5112679557164655,4.949659017295064,106.82622565760559,17.182087228733547,6.246876874892675,AI103952,True,38.899131494368,-77.0765703829795,22209,38.759737141661645,-76.99097473434776
"Washington, DC",3,22030,washington_dc_r01,1,DMS Region 1,DMS Region 1,DMS_CORE,15,15,6,9,0,0.4,0.4513373371502765,5.64478849685507,99.37516914171425,23.380047592244335,7.2927786020981324,AI102540,False,38.899131494368,-77.0765703829795,22209,38.84578058452074,-77.337801931669
"Washington, DC",3,22033,washington_dc_r01,1,DMS Region 1,DMS Region 1,DMS_CORE,16,16,2,14,0,0.125,0.2797218486326675,8.191058770572232,100.69382277134186,26.884542550254995,6.255886621525306,AI102540,False,38.899131494368,-77.0765703829795,22209,38.875741220519934,-77.38573037044526
"Washington, DC",3,22041,washington_dc_r01,1,DMS Region 1,DMS Region 1,DMS_CORE,6,6,5,1,0,0.8333333333333334,0.7643678784740082,9.447051450391724,101.2464042310671,7.6069515432710615,3.6368951767870703,AI105083,True,38.899131494368,-77.0765703829795,22209,38.84246214288766,-77.12579275875267
