side,source,request_id,mode,city,planning_date,payload_jobs,payload_technicians,payload_heavy_jobs,payload_service_minutes_distribution,server_service_rows,server_service_heavy_jobs,server_solver_engineers
existing,260310\vrp_api_jobs\ROUTE-2026-03-31_2edaf645\request.json,ROUTE-2026-03-31,na_general,"Atlanta, GA",2026-03-31,41,15,13,"{""100"": 13, ""45"": 28}",41,13,15
common,260310\vrp_api_jobs\23c7199e2a6e469aaa2eda9d4ce53dfe_bac4becc\request.json,23c7199e2a6e469aaa2eda9d4ce53dfe,na_general,"Atlanta, GA",2026-03-31,41,15,13,"{""100"": 13, ""45"": 28}",41,13,15
