size,request_id,ok,status,elapsed_ms,response_bytes,osrm_code,error
100,2,True,200,578.2478998880833,22204,Ok,
100,7,True,200,602.6602000929415,22204,Ok,
100,22,True,200,601.5002001076937,22204,Ok,
100,6,True,200,611.6412999108434,22204,Ok,
100,26,True,200,599.77460000664,22204,Ok,
100,1,True,200,622.668500058353,22204,Ok,
100,5,True,200,627.727200044319,22204,Ok,
100,3,True,200,629.2029998730868,22204,Ok,
100,30,True,200,621.4128998108208,22204,Ok,
100,8,True,200,651.0429000481963,22204,Ok,
100,23,True,200,650.8373999968171,22204,Ok,
100,16,True,200,656.7234999965876,22204,Ok,
100,12,True,200,672.6526999846101,22204,Ok,
100,21,True,200,668.9867000095546,22204,Ok,
100,20,True,200,673.7404000014067,22204,Ok,
100,13,True,200,683.7272001430392,22204,Ok,
100,17,True,200,696.6483001597226,22204,Ok,
100,10,True,200,709.141300059855,22204,Ok,
100,4,True,200,721.2724999990314,22204,Ok,
100,9,True,200,719.1967000253499,22204,Ok,
100,35,True,200,706.9582000840455,22204,Ok,
100,24,True,200,723.0677001643926,22204,Ok,
100,15,True,200,730.9155999682844,22204,Ok,
100,25,True,200,725.8526999503374,22204,Ok,
100,52,True,200,717.816999880597,22204,Ok,
100,11,True,200,758.3021000027657,22204,Ok,
100,14,True,200,757.6162999030203,22204,Ok,
100,28,True,200,749.6913000941277,22204,Ok,
100,36,True,200,740.2259001974016,22204,Ok,
100,18,True,200,772.9629999957979,22204,Ok,
100,34,True,200,759.756000014022,22204,Ok,
100,27,True,200,775.4258001223207,22204,Ok,
100,32,True,200,776.4242999255657,22204,Ok,
100,45,True,200,768.2871001306921,22204,Ok,
100,47,True,200,772.7278000675142,22204,Ok,
100,38,True,200,781.2769000884145,22204,Ok,
100,40,True,200,795.8233000244945,22204,Ok,
100,42,True,200,799.7171999886632,22204,Ok,
100,64,True,200,804.6540999785066,22204,Ok,
100,49,True,200,814.8572999052703,22204,Ok,
100,19,True,200,841.736099915579,22204,Ok,
100,29,True,200,834.349799901247,22204,Ok,
100,53,True,200,816.3337998557836,22204,Ok,
100,31,True,200,840.0167999789119,22204,Ok,
100,67,True,200,836.9936998933554,22204,Ok,
100,37,True,200,857.5714000035077,22204,Ok,
100,41,True,200,862.2795999981463,22204,Ok,
100,55,True,200,862.6159999985248,22204,Ok,
100,33,True,200,878.5408001858741,22204,Ok,
100,56,True,200,873.5936000011861,22204,Ok,
100,43,True,200,891.2851000204682,22204,Ok,
100,39,True,200,895.9201998077333,22204,Ok,
100,48,True,200,902.6200000662357,22204,Ok,
100,50,True,200,909.1049998532981,22204,Ok,
100,44,True,200,918.6297999694943,22204,Ok,
100,69,True,200,907.4691999703646,22204,Ok,
100,46,True,200,920.3280999790877,22204,Ok,
100,74,True,200,910.7663000468165,22204,Ok,
100,68,True,200,914.8416998796165,22204,Ok,
100,72,True,200,918.0066999979317,22204,Ok,
100,61,True,200,952.8538000304252,22204,Ok,
100,60,True,200,954.2642999440432,22204,Ok,
100,54,True,200,958.9893000666052,22204,Ok,
100,62,True,200,955.9212999884039,22204,Ok,
100,71,True,200,960.7782999519259,22204,Ok,
100,73,True,200,964.6026000846177,22204,Ok,
100,59,True,200,990.6219998374581,22204,Ok,
100,89,True,200,977.2781999781728,22204,Ok,
100,51,True,200,1003.7789000198245,22204,Ok,
100,65,True,200,1005.1285999361426,22204,Ok,
100,63,True,200,1007.4430999811739,22204,Ok,
100,57,True,200,1011.9249999988824,22204,Ok,
100,85,True,200,1000.3559999167919,22204,Ok,
100,79,True,200,1017.5505999941379,22204,Ok,
100,77,True,200,1026.1860000900924,22204,Ok,
100,58,True,200,1038.5376000776887,22204,Ok,
100,91,True,200,1027.6140000205487,22204,Ok,
100,83,True,200,1034.632100025192,22204,Ok,
100,66,True,200,1059.9855000618845,22204,Ok,
100,70,True,200,1063.0021998658776,22204,Ok,
100,82,True,200,1059.8223998676986,22204,Ok,
100,87,True,200,1068.5845999978483,22204,Ok,
100,80,True,200,1076.6168001573533,22204,Ok,
100,75,True,200,1083.2371998112649,22204,Ok,
100,93,True,200,1074.2825001943856,22204,Ok,
100,95,True,200,1077.0950000733137,22204,Ok,
100,81,True,200,1100.7069998886436,22204,Ok,
100,76,True,200,1108.364700106904,22204,Ok,
100,96,True,200,1104.1236000601202,22204,Ok,
100,88,True,200,1111.2149998079985,22204,Ok,
100,90,True,200,1114.781899843365,22204,Ok,
100,78,True,200,1136.9827999733388,22204,Ok,
100,94,True,200,1134.8270000889897,22204,Ok,
100,97,True,200,1134.2929999809712,22204,Ok,
100,100,True,200,1145.7656000275165,22204,Ok,
100,84,True,200,1158.6889999452978,22204,Ok,
100,98,True,200,1166.4325001183897,22204,Ok,
100,99,True,200,1170.624499907717,22204,Ok,
100,86,True,200,1180.9658000711352,22204,Ok,
100,92,True,200,1181.7118998151273,22204,Ok,
200,5,True,200,789.0357999131083,44316,Ok,
200,10,True,200,789.266100153327,44316,Ok,
200,9,True,200,794.3206001073122,44316,Ok,
200,3,True,200,821.6401000972837,44316,Ok,
200,8,True,200,854.0361998602748,44316,Ok,
200,7,True,200,855.6736002210528,44316,Ok,
200,1,True,200,859.9148998036981,44316,Ok,
200,2,True,200,873.7277998588979,44316,Ok,
200,33,True,200,868.9294999931008,44316,Ok,
200,16,True,200,881.6209998913109,44316,Ok,
200,15,True,200,900.6266000214964,44316,Ok,
200,6,True,200,915.1027000043541,44316,Ok,
200,17,True,200,944.6091998834163,44316,Ok,
200,23,True,200,945.3213000670075,44316,Ok,
200,21,True,200,949.1497001145035,44316,Ok,
200,11,True,200,960.49700002186,44316,Ok,
200,40,True,200,974.2105999030173,44316,Ok,
200,18,True,200,1004.5992999803275,44316,Ok,
200,12,True,200,1028.7743001244962,44316,Ok,
200,14,True,200,1028.3469997812063,44316,Ok,
200,26,True,200,1041.964199859649,44316,Ok,
200,28,True,200,1044.294800143689,44316,Ok,
200,19,True,200,1061.340200016275,44316,Ok,
200,20,True,200,1079.7904999926686,44316,Ok,
200,27,True,200,1097.0039998646826,44316,Ok,
200,24,True,200,1110.6813000515103,44316,Ok,
200,25,True,200,1111.2887000199407,44316,Ok,
200,13,True,200,1125.1859001349658,44316,Ok,
200,34,True,200,1142.649400047958,44316,Ok,
200,31,True,200,1153.195400023833,44316,Ok,
200,22,True,200,1177.3079000413418,44316,Ok,
200,4,True,200,1195.9675999823958,44316,Ok,
200,35,True,200,1190.01379981637,44316,Ok,
200,37,True,200,1203.4152001142502,44316,Ok,
200,29,True,200,1218.87920005247,44316,Ok,
200,30,True,200,1224.6222000103444,44316,Ok,
200,45,True,200,1235.9698999207467,44316,Ok,
200,53,True,200,1235.7777999714017,44316,Ok,
200,39,True,200,1253.2654001843184,44316,Ok,
200,42,True,200,1253.6080998834223,44316,Ok,
200,38,True,200,1295.8662998862565,44316,Ok,
200,47,True,200,1302.5485000107437,44316,Ok,
200,49,True,200,1302.1394999232143,44316,Ok,
200,36,True,200,1320.3362999483943,44316,Ok,
200,50,True,200,1339.10490013659,44316,Ok,
200,43,True,200,1347.512000007555,44316,Ok,
200,46,True,200,1352.5221000891179,44316,Ok,
200,48,True,200,1352.4645001161844,44316,Ok,
200,57,True,200,1371.765499934554,44316,Ok,
200,32,True,200,1415.3247000649571,44316,Ok,
200,41,True,200,1420.8416999317706,44316,Ok,
200,44,True,200,1423.2914000749588,44316,Ok,
200,61,True,200,1422.1812000032514,44316,Ok,
200,54,True,200,1438.4139999747276,44316,Ok,
200,55,True,200,1442.0235001016408,44316,Ok,
200,52,True,200,1454.2153999209404,44316,Ok,
200,67,True,200,1465.4085000511259,44316,Ok,
200,62,True,200,1484.1242001857609,44316,Ok,
200,60,True,200,1487.1633001603186,44316,Ok,
200,64,True,200,1494.985100114718,44316,Ok,
200,72,True,200,1530.914600007236,44316,Ok,
200,56,True,200,1552.8639999683946,44316,Ok,
200,70,True,200,1551.1090999934822,44316,Ok,
200,51,True,200,1572.063700063154,44316,Ok,
200,76,True,200,1565.8223000355065,44316,Ok,
200,71,True,200,1582.0065001025796,44316,Ok,
200,58,True,200,1613.0733001045883,44316,Ok,
200,59,True,200,1615.2445999905467,44316,Ok,
200,82,True,200,1615.255700191483,44316,Ok,
200,80,True,200,1617.8695000708103,44316,Ok,
200,68,True,200,1647.3070001229644,44316,Ok,
200,65,True,200,1659.0819000266492,44316,Ok,
200,81,True,200,1665.8141000662,44316,Ok,
200,77,True,200,1684.4904001336545,44316,Ok,
200,73,True,200,1697.1943001262844,44316,Ok,
200,66,True,200,1709.1139999683946,44316,Ok,
200,83,True,200,1718.6699998565018,44316,Ok,
200,74,True,200,1749.8013998847455,44316,Ok,
200,75,True,200,1750.6971000693738,44316,Ok,
200,69,True,200,1760.7285000849515,44316,Ok,
200,89,True,200,1769.0078001469374,44316,Ok,
200,96,True,200,1774.6731000952423,44316,Ok,
200,63,True,200,1828.913199948147,44316,Ok,
200,86,True,200,1822.9233999736607,44316,Ok,
200,92,True,200,1833.9307999704033,44316,Ok,
200,85,True,200,1843.8382998574525,44316,Ok,
200,79,True,200,1857.077200198546,44316,Ok,
200,78,True,200,1858.3183998707682,44316,Ok,
200,98,True,200,1878.9389999583364,44316,Ok,
200,88,True,200,1892.9415000602603,44316,Ok,
200,90,True,200,1893.0498000700027,44316,Ok,
200,84,True,200,1905.7966999243945,44316,Ok,
200,94,True,200,1928.157600108534,44316,Ok,
200,99,True,200,1926.400399999693,44316,Ok,
200,91,True,200,1942.9808999411762,44316,Ok,
200,87,True,200,1954.7809998039156,44316,Ok,
200,97,True,200,1987.7072998788208,44316,Ok,
200,100,True,200,1986.1592000816017,44316,Ok,
200,95,True,200,2001.3814000412822,44316,Ok,
200,93,True,200,2004.4232998043299,44316,Ok,
300,11,True,200,829.4585000257939,66256,Ok,
300,3,True,200,834.0600000228733,66256,Ok,
300,20,True,200,1076.9399998243898,66256,Ok,
300,39,True,200,1073.7580000422895,66256,Ok,
300,6,True,200,1112.2950999997556,66256,Ok,
300,4,True,200,1113.9587999787182,66256,Ok,
300,15,True,200,1110.0141000933945,66256,Ok,
300,21,True,200,1107.7091000042856,66256,Ok,
300,28,True,200,1104.3446999974549,66256,Ok,
300,13,True,200,1113.7079999316484,66256,Ok,
300,1,True,200,1126.3816999271512,66256,Ok,
300,10,True,200,1122.7793998550624,66256,Ok,
300,9,True,200,1124.2714000400156,66256,Ok,
300,12,True,200,1123.8186999689788,66256,Ok,
300,2,True,200,1129.2658001184464,66256,Ok,
300,5,True,200,1138.2772999349982,66256,Ok,
300,26,True,200,1163.1644000299275,66256,Ok,
300,31,True,200,1162.3484999872744,66256,Ok,
300,8,True,200,1195.3026000410318,66256,Ok,
300,7,True,200,1216.5059999097139,66256,Ok,
300,45,True,200,1222.0302000641823,66256,Ok,
300,17,True,200,1259.523699991405,66256,Ok,
300,18,True,200,1259.8788999021053,66256,Ok,
300,27,True,200,1258.9511000551283,66256,Ok,
300,29,True,200,1322.4716000258923,66256,Ok,
300,32,True,200,1335.0399998016655,66256,Ok,
300,19,True,200,1343.5899999458343,66256,Ok,
300,14,True,200,1354.239200009033,66256,Ok,
300,33,True,200,1400.4530000966042,66256,Ok,
300,34,True,200,1401.4504998922348,66256,Ok,
300,23,True,200,1418.3120999950916,66256,Ok,
300,24,True,200,1432.8117000404745,66256,Ok,
300,16,True,200,1502.9005999676883,66256,Ok,
300,38,True,200,1491.70450004749,66256,Ok,
300,25,True,200,1499.5044998358935,66256,Ok,
300,22,True,200,1514.2821001354605,66256,Ok,
300,46,True,200,1556.4942001365125,66256,Ok,
300,37,True,200,1562.7365000545979,66256,Ok,
300,41,True,200,1572.9418001137674,66256,Ok,
300,30,True,200,1581.5101000480354,66256,Ok,
300,43,True,200,1638.6768999509513,66256,Ok,
300,36,True,200,1669.4881001021713,66256,Ok,
300,40,True,200,1668.6471998691559,66256,Ok,
300,50,True,200,1664.6012000273913,66256,Ok,
300,66,True,200,1701.7983000259846,66256,Ok,
300,49,True,200,1720.4490001313388,66256,Ok,
300,44,True,200,1739.8015998769552,66256,Ok,
300,35,True,200,1747.5029998458922,66256,Ok,
300,54,True,200,1784.435500157997,66256,Ok,
300,65,True,200,1781.7041999660432,66256,Ok,
300,47,True,200,1816.5049999952316,66256,Ok,
300,42,True,200,1828.4891999792308,66256,Ok,
300,64,True,200,1858.3688999060541,66256,Ok,
300,57,True,200,1877.202299889177,66256,Ok,
300,53,True,200,1893.9559999853373,66256,Ok,
300,52,True,200,1904.502100078389,66256,Ok,
300,62,True,200,1957.1925001218915,66256,Ok,
300,61,True,200,1959.4280999153852,66256,Ok,
300,55,True,200,1970.055199926719,66256,Ok,
300,48,True,200,1984.2079000081867,66256,Ok,
300,67,True,200,2024.6748998761177,66256,Ok,
300,84,True,200,2016.2863000296056,66256,Ok,
300,60,True,200,2049.1871000267565,66256,Ok,
300,51,True,200,2068.275400204584,66256,Ok,
300,74,True,200,2107.911700149998,66256,Ok,
300,81,True,200,2111.732200020924,66256,Ok,
300,72,True,200,2118.8180001918226,66256,Ok,
300,63,True,200,2131.5423001069576,66256,Ok,
300,92,True,200,2175.380300031975,66256,Ok,
300,73,True,200,2196.9052001368254,66256,Ok,
300,58,True,200,2229.184899944812,66256,Ok,
300,56,True,200,2241.3441999815404,66256,Ok,
300,69,True,200,2279.83730006963,66256,Ok,
300,68,True,200,2292.860999936238,66256,Ok,
300,70,True,200,2292.4494999460876,66256,Ok,
300,59,True,200,2318.27550008893,66256,Ok,
300,79,True,200,2356.0218999627978,66256,Ok,
300,89,True,200,2353.300000075251,66256,Ok,
300,75,True,200,2371.371499961242,66256,Ok,
300,71,True,200,2384.3324000481516,66256,Ok,
300,88,True,200,2427.081699948758,66256,Ok,
300,86,True,200,2436.1173999495804,66256,Ok,
300,83,True,200,2447.8540997952223,66256,Ok,
300,82,True,200,2450.4569999407977,66256,Ok,
300,93,True,200,2512.933799996972,66256,Ok,
300,80,True,200,2543.970200000331,66256,Ok,
300,76,True,200,2547.0511000603437,66256,Ok,
300,78,True,200,2548.2113000471145,66256,Ok,
300,99,True,200,2593.5873000416905,66256,Ok,
300,96,True,200,2600.599099881947,66256,Ok,
300,91,True,200,2607.6400000602007,66256,Ok,
300,77,True,200,2628.430999815464,66256,Ok,
300,87,True,200,2691.983199911192,66256,Ok,
300,94,True,200,2689.0833999495953,66256,Ok,
