subsidiary_name,strategic_city_name,plan_id,region_id,region_seq,region_name,new_region_name,area_type,required_center_type
LGEAI,"Washington, DC",legacy_6cea3e381012_v1,washington_dc_r01,1,Region 1,Region 1,,
LGEAI,"Washington, DC",legacy_6cea3e381012_v1,washington_dc_r02,2,Region 2,Region 2,,
LGEAI,"Washington, DC",legacy_6cea3e381012_v1,washington_dc_r03,3,Region 3,Region 3,,
